employee_index_id,full_name,first_name,last_name,date_of_birth,age,gender,marital_status,nationality,race,work_pass_type,mobile_number,personal_email,work_email,industry,job_title,employment_type,employment_status,employment_start_date,leave_taken,department
25,Leslie Graham,Leslie,Graham,2003-07-25,22,Female,Married,Singaporean,Chinese,Citizen / PR,97385619,hdiaz@browning-chavez.com,leslie.graham@company.com,IT,Cloud Architect,Contract,Resigned,2022-07-03,19,IT Support
26,Donna Huang,Donna,Huang,1975-12-03,50,Female,Married,Singaporean,Malay,Citizen / PR,98094868,srobertson@barnes-bryan.com,donna.huang@company.com,Service,Operations Executive,Contract,Active,2022-11-01,15,Operations
27,Shelly Allen,Shelly,Allen,2002-05-24,23,Female,Married,Singaporean,Chinese,Citizen / PR,91148274,daviddiaz@gmail.com,shelly.allen@company.com,IT,Software Engineer,Full-Time,Probation,2017-03-09,1,IT Support
28,Joseph Cook,Joseph,Cook,2000-06-01,25,Female,Married,Chinese (PRC),Indian,LTVP,95334986,melissajones@gmail.com,joseph.cook@company.com,Wholesale,Inventory Coordinator,Full-Time,Resigned,2018-03-25,17,Legal
29,Thomas Murray,Thomas,Murray,1997-07-26,28,Male,Single,Singaporean,Others,Citizen / PR,97679861,deniseanderson@moore.com,thomas.murray@company.com,IT,Software Engineer,Contract,Resigned,2016-12-21,3,IT Support
30,Heather Becker,Heather,Becker,1975-08-18,50,Female,Single,Chinese (PRC),Chinese,Work Permit (WP),94048146,kathrynhicks@gmail.com,heather.becker@company.com,IT,Cloud Architect,Part-Time,Probation,2021-09-16,18,Operations
31,Amy Perry,Amy,Perry,1982-10-21,43,Male,Divorced,Singaporean,Others,Citizen / PR,95269891,edrake@hotmail.com,amy.perry@company.com,Wholesale,Sales Executive,Contract,Resigned,2018-02-18,7,Legal
32,Devon Smith,Devon,Smith,2000-09-07,25,Female,Married,Singaporean,Others,Citizen / PR,91954210,jennifer65@scott-moore.com,devon.smith@company.com,Service,Operations Executive,Contract,Resigned,2018-02-12,8,Legal
33,Todd Hickman,Todd,Hickman,1992-04-09,33,Male,Single,Vietnamese,Chinese,LTVP,92990843,ronald18@vargas.biz,todd.hickman@company.com,Service,Service Manager,Full-Time,Active,2025-06-04,17,Sales
34,Christine Anderson,Christine,Anderson,1965-12-21,60,Male,Married,Vietnamese,Chinese,LTVP,93069006,wisedawn@yahoo.com,christine.anderson@company.com,IT,IT Manager,Contract,Probation,2016-07-30,13,Product
35,Christopher Roth,Christopher,Roth,1990-05-07,35,Male,Single,Singaporean,Malay,Citizen / PR,92460597,savagelindsey@mccarty.biz,christopher.roth@company.com,IT,Software Engineer,Full-Time,Resigned,2021-07-01,9,Operations
36,Debbie Pierce,Debbie,Pierce,1983-08-27,42,Female,Single,Singaporean,Eurasian,Citizen / PR,96239349,earl95@hotmail.com,debbie.pierce@company.com,Service,Field Service Technician,Full-Time,Active,2020-12-26,14,Human Resources
37,Thomas Joseph,Thomas,Joseph,1988-05-19,37,Male,Married,Bangladeshi,Malay,Work Permit (WP),94399157,martinjohn@gmail.com,thomas.joseph@company.com,Wholesale,Inventory Coordinator,Full-Time,Resigned,2018-11-30,10,Finance
38,William Banks,William,Banks,1969-12-09,56,Male,Married,Others,Malay,Employment Pass (EP),98034351,barnesjennifer@gmail.com,william.banks@company.com,IT,DevOps Engineer,Part-Time,Active,2017-11-10,15,Legal
39,Elizabeth Cooper,Elizabeth,Cooper,1968-04-15,57,Male,Married,Singaporean,Malay,Citizen / PR,99966463,steven35@yahoo.com,elizabeth.cooper@company.com,Wholesale,Sales Executive,Contract,Resigned,2024-08-05,15,IT Support
40,Julie Nelson,Julie,Nelson,2001-10-21,24,Male,Married,Singaporean,Eurasian,Citizen / PR,97933807,jacob30@anderson-jackson.biz,julie.nelson@company.com,IT,System Analyst,Full-Time,Active,2019-11-21,17,Engineering
41,Michael Rodriguez,Michael,Rodriguez,1994-03-28,31,Male,Single,Singaporean,Others,Citizen / PR,90855388,sheri89@orr.org,michael.rodriguez@company.com,IT,DevOps Engineer,Part-Time,Active,2024-12-31,2,Operations
42,Justin Snyder,Justin,Snyder,1982-06-25,43,Female,Divorced,Bangladeshi,Others,Work Permit (WP),92688989,harrisondakota@yahoo.com,justin.snyder@company.com,IT,System Analyst,Contract,Resigned,2020-06-25,12,Finance
43,Eric Francis,Eric,Francis,1986-06-06,39,Female,Single,Singaporean,Eurasian,Citizen / PR,92640275,rebecca39@gmail.com,eric.francis@company.com,Wholesale,Wholesale Manager,Part-Time,Probation,2016-08-02,4,Product
44,Charles Haynes,Charles,Haynes,1996-01-31,29,Male,Divorced,Singaporean,Malay,Citizen / PR,94600949,lynchzachary@yahoo.com,charles.haynes@company.com,IT,Software Engineer,Contract,Active,2018-05-06,14,Legal
45,Amy Perez,Amy,Perez,1980-03-06,45,Male,Divorced,Singaporean,Malay,Citizen / PR,90991167,donnawatkins@yahoo.com,amy.perez@company.com,Service,Customer Service Officer,Part-Time,Active,2022-07-21,17,Human Resources
46,Seth White,Seth,White,1984-08-13,41,Male,Single,Singaporean,Malay,Citizen / PR,91174958,melissa26@gmail.com,seth.white@company.com,Service,Service Manager,Contract,Active,2024-07-08,19,Legal
47,Michael Russell,Michael,Russell,1989-11-16,36,Male,Divorced,Chinese (PRC),Chinese,S Pass,93718861,wolfemark@gmail.com,michael.russell@company.com,IT,System Analyst,Part-Time,Active,2024-09-14,4,Product
48,Steve Powers,Steve,Powers,1981-08-01,44,Female,Single,Singaporean,Others,Citizen / PR,99859885,melissabaker@yahoo.com,steve.powers@company.com,Service,Service Manager,Part-Time,Resigned,2020-10-05,4,Engineering
49,Dawn Johnson,Dawn,Johnson,1967-11-26,58,Female,Single,Indian,Chinese,Employment Pass (EP),93426284,kathleenmartin@hotmail.com,dawn.johnson@company.com,Service,Customer Service Officer,Contract,Resigned,2016-12-04,16,Product
50,Natalie Hanna,Natalie,Hanna,1979-12-10,46,Female,Single,Singaporean,Others,Citizen / PR,99867682,douglas95@diaz.biz,natalie.hanna@company.com,Service,Service Coordinator,Full-Time,Resigned,2020-12-20,4,Operations
51,George Wang,George,Wang,1968-08-10,57,Male,Divorced,Singaporean,Others,Citizen / PR,98948343,ldavis@yahoo.com,george.wang@company.com,Wholesale,Supplier Relations Officer,Contract,Probation,2022-11-16,9,Finance
52,Jennifer Garrett,Jennifer,Garrett,1999-09-08,26,Female,Married,Singaporean,Eurasian,Citizen / PR,92378841,perkinsronald@hansen-buckley.com,jennifer.garrett@company.com,Wholesale,Purchasing Executive,Full-Time,Probation,2019-02-12,8,Human Resources
53,Jonathan Riggs,Jonathan,Riggs,2003-10-16,22,Female,Divorced,Singaporean,Eurasian,Citizen / PR,95511718,clarknicholas@hotmail.com,jonathan.riggs@company.com,IT,System Analyst,Part-Time,Resigned,2017-08-22,18,Marketing
54,Tammy Smith,Tammy,Smith,1974-06-26,51,Male,Divorced,Singaporean,Eurasian,Citizen / PR,92270402,jenniferhawkins@gmail.com,tammy.smith@company.com,IT,Database Administrator,Part-Time,Resigned,2020-06-07,19,Engineering
55,Eric Patel,Eric,Patel,1998-02-02,27,Female,Divorced,Singaporean,Chinese,Citizen / PR,97943528,dmolina@nelson.com,eric.patel@company.com,IT,IT Manager,Contract,Probation,2024-01-26,14,Engineering
56,Shelby Kim,Shelby,Kim,1969-04-18,56,Female,Divorced,Singaporean,Others,Citizen / PR,93706520,elizabethjenkins@hotmail.com,shelby.kim@company.com,Service,Service Manager,Part-Time,Probation,2016-10-12,16,Marketing
57,Lucas White,Lucas,White,1991-03-19,34,Male,Married,Thai,Malay,Employment Pass (EP),92402852,savagemiguel@williams-sanchez.org,lucas.white@company.com,IT,Cloud Architect,Full-Time,Resigned,2019-11-20,13,Legal
58,Ashley Tran,Ashley,Tran,1983-07-06,42,Male,Single,Singaporean,Malay,Citizen / PR,92771720,tiffanymartinez@owens.info,ashley.tran@company.com,Service,Customer Service Officer,Part-Time,Active,2019-02-06,1,Product
59,Amy Wise,Amy,Wise,1991-07-10,34,Male,Divorced,Singaporean,Chinese,Citizen / PR,91552572,gnelson@price.com,amy.wise@company.com,IT,Network Engineer,Contract,Probation,2024-07-01,11,IT Support
60,Matthew Chavez,Matthew,Chavez,1994-01-06,31,Male,Divorced,Singaporean,Others,Citizen / PR,94660554,stevensmith@walker.info,matthew.chavez@company.com,Service,Service Coordinator,Part-Time,Probation,2025-07-03,6,Human Resources
61,Joseph Wood,Joseph,Wood,1968-02-19,57,Male,Single,Singaporean,Others,Citizen / PR,93366380,randrews@yahoo.com,joseph.wood@company.com,Service,Service Coordinator,Full-Time,Active,2017-03-13,12,Engineering
62,Michael Miller,Michael,Miller,1977-09-18,48,Male,Married,Malaysian,Chinese,LTVP,94619053,allisonpetersen@fernandez.com,michael.miller@company.com,Wholesale,Sales Executive,Part-Time,Active,2021-05-28,0,Marketing
63,Logan Moreno,Logan,Moreno,2004-10-04,21,Female,Divorced,Singaporean,Chinese,Citizen / PR,93352476,tinaknapp@gmail.com,logan.moreno@company.com,IT,Cloud Architect,Part-Time,Probation,2025-05-15,4,Human Resources
64,Travis Ferguson,Travis,Ferguson,1993-02-02,32,Female,Single,Singaporean,Malay,Citizen / PR,97440659,rbowen@gmail.com,travis.ferguson@company.com,IT,Network Engineer,Part-Time,Probation,2017-04-18,12,Product
65,Christina Davis,Christina,Davis,1998-02-11,27,Male,Married,Myanmar,Eurasian,Work Permit (WP),91244537,shelby37@contreras-ware.com,christina.davis@company.com,Wholesale,Purchasing Executive,Contract,Resigned,2025-11-16,15,Finance
66,Abigail Lopez,Abigail,Lopez,1977-04-27,48,Female,Married,Singaporean,Others,Citizen / PR,95287661,marywhitaker@yahoo.com,abigail.lopez@company.com,Wholesale,Wholesale Manager,Full-Time,Active,2024-10-17,13,Product
67,Robert Pearson,Robert,Pearson,1988-01-01,37,Female,Single,Singaporean,Others,Citizen / PR,96142606,roymiller@holden.org,robert.pearson@company.com,Wholesale,Inventory Coordinator,Full-Time,Resigned,2018-08-11,3,Sales
68,Jonathan Ford,Jonathan,Ford,1997-06-17,28,Female,Single,Singaporean,Chinese,Citizen / PR,90764907,brianwatson@gmail.com,jonathan.ford@company.com,Wholesale,Inventory Coordinator,Contract,Active,2023-12-16,14,Finance
69,Sarah Holloway,Sarah,Holloway,1965-04-26,60,Male,Single,Singaporean,Eurasian,Citizen / PR,91582544,inelson@campbell.net,sarah.holloway@company.com,Wholesale,Purchasing Executive,Part-Time,Probation,2018-02-20,9,Product
70,Hannah Perez,Hannah,Perez,1965-04-24,60,Male,Married,Singaporean,Eurasian,Citizen / PR,94159579,glivingston@hernandez-parker.info,hannah.perez@company.com,Service,Service Coordinator,Part-Time,Resigned,2022-10-12,19,Human Resources
71,Ethan Myers,Ethan,Myers,1985-07-30,40,Female,Single,Myanmar,Others,Work Permit (WP),96796520,srussell@hotmail.com,ethan.myers@company.com,IT,Database Administrator,Contract,Probation,2025-11-10,10,IT Support
72,Sara Holland,Sara,Holland,1985-11-08,40,Male,Single,Singaporean,Others,Citizen / PR,98175007,sullivanraymond@mendoza.org,sara.holland@company.com,Wholesale,Purchasing Executive,Full-Time,Resigned,2023-07-15,12,Sales
73,Megan Johnson,Megan,Johnson,1967-03-14,58,Female,Married,Singaporean,Malay,Citizen / PR,90287783,stephanie74@hernandez.com,megan.johnson@company.com,Wholesale,Supplier Relations Officer,Part-Time,Resigned,2021-09-20,0,Operations
74,Melissa Montoya,Melissa,Montoya,1985-03-05,40,Female,Married,Filipino,Indian,Employment Pass (EP),91373999,jonathansheppard@johnson-morris.com,melissa.montoya@company.com,Service,Service Manager,Full-Time,Probation,2020-10-29,8,Sales
75,Karen Snyder,Karen,Snyder,1986-08-29,39,Male,Single,Filipino,Eurasian,Work Permit (WP),90657138,rdavenport@hebert.com,karen.snyder@company.com,IT,System Analyst,Contract,Probation,2018-08-14,7,Engineering
76,John Escobar,John,Escobar,1980-11-28,45,Male,Single,Singaporean,Indian,Citizen / PR,93339246,danajackson@hotmail.com,john.escobar@company.com,Wholesale,Inventory Coordinator,Full-Time,Resigned,2021-05-06,10,Product
77,Jerry Davis,Jerry,Davis,1995-04-28,30,Female,Single,Singaporean,Indian,Citizen / PR,94220223,jessicagonzalez@gmail.com,jerry.davis@company.com,Service,Service Manager,Contract,Resigned,2019-08-22,10,Operations
78,Daniel Lopez,Daniel,Lopez,1981-11-12,44,Male,Married,Singaporean,Chinese,Citizen / PR,98431734,stewartshaun@hotmail.com,daniel.lopez@company.com,IT,Network Engineer,Full-Time,Probation,2023-11-22,5,IT Support
79,Christian Jackson,Christian,Jackson,1996-07-21,29,Female,Married,Singaporean,Others,Citizen / PR,98353138,brownstephanie@gmail.com,christian.jackson@company.com,IT,Cloud Architect,Part-Time,Resigned,2020-07-14,4,Legal
80,Paul Woods,Paul,Woods,1965-11-13,60,Male,Married,Bangladeshi,Indian,S Pass,97313580,mli@yahoo.com,paul.woods@company.com,Service,Customer Service Officer,Full-Time,Probation,2022-03-13,3,IT Support
81,Rebecca Phelps,Rebecca,Phelps,1981-06-03,44,Female,Single,Singaporean,Indian,Citizen / PR,98798340,jennifer67@fisher.com,rebecca.phelps@company.com,Wholesale,Purchasing Executive,Full-Time,Resigned,2018-10-28,17,Marketing
82,Gina Huerta,Gina,Huerta,1967-12-10,58,Male,Single,Singaporean,Malay,Citizen / PR,99108597,joseph21@perez-walker.info,gina.huerta@company.com,IT,AI Engineer,Part-Time,Resigned,2021-03-10,12,Marketing
83,Cynthia Jackson,Cynthia,Jackson,1983-02-14,42,Female,Divorced,Singaporean,Eurasian,Citizen / PR,90570551,derek25@chan.biz,cynthia.jackson@company.com,Service,Operations Executive,Part-Time,Probation,2020-12-17,18,Operations
84,Brandon Middleton,Brandon,Middleton,1981-04-27,44,Female,Single,Singaporean,Malay,Citizen / PR,92344354,vfrederick@clark-holmes.info,brandon.middleton@company.com,IT,AI Engineer,Part-Time,Active,2023-09-06,8,Legal
85,Timothy Bennett,Timothy,Bennett,1984-12-24,41,Male,Divorced,Singaporean,Malay,Citizen / PR,93657448,ucamacho@palmer-williams.biz,timothy.bennett@company.com,Wholesale,Inventory Coordinator,Contract,Resigned,2021-02-27,10,Human Resources
86,Stephen Kennedy,Stephen,Kennedy,1996-08-08,29,Female,Married,Singaporean,Eurasian,Citizen / PR,93897704,owilliams@gmail.com,stephen.kennedy@company.com,IT,Network Engineer,Full-Time,Resigned,2017-06-25,8,Sales
87,Gary Pacheco,Gary,Pacheco,1993-03-19,32,Male,Married,Singaporean,Others,Citizen / PR,92910202,richard35@yahoo.com,gary.pacheco@company.com,Wholesale,Wholesale Manager,Contract,Probation,2020-07-21,6,Operations
88,Chad Baker,Chad,Baker,1967-10-19,58,Female,Single,Singaporean,Eurasian,Citizen / PR,96687679,jessicahansen@gonzalez-williams.org,chad.baker@company.com,IT,IT Manager,Part-Time,Active,2025-02-06,16,IT Support
89,Ashley Rogers,Ashley,Rogers,1991-02-19,34,Female,Married,Singaporean,Indian,Citizen / PR,90740329,traceyhodges@cobb.org,ashley.rogers@company.com,Service,Service Coordinator,Full-Time,Resigned,2024-12-08,2,Operations
90,Stacy Mills,Stacy,Mills,1996-01-01,29,Male,Divorced,Singaporean,Eurasian,Citizen / PR,93810346,maryjones@hall.com,stacy.mills@company.com,IT,DevOps Engineer,Part-Time,Active,2023-03-07,19,Marketing
91,Stephanie Stanley,Stephanie,Stanley,1994-03-07,31,Female,Divorced,Singaporean,Others,Citizen / PR,94484296,walkerjustin@yahoo.com,stephanie.stanley@company.com,Service,Operations Executive,Full-Time,Resigned,2018-02-25,3,Marketing
92,Ricky Watkins,Ricky,Watkins,1976-09-29,49,Female,Single,Singaporean,Others,Citizen / PR,99602438,hallconnie@hotmail.com,ricky.watkins@company.com,Wholesale,Purchasing Executive,Part-Time,Probation,2024-02-20,9,Legal
93,Danielle Alvarez,Danielle,Alvarez,1999-01-19,26,Male,Single,Singaporean,Eurasian,Citizen / PR,99026204,sarah19@williamson.com,danielle.alvarez@company.com,Service,Field Service Technician,Part-Time,Resigned,2018-05-10,14,Product
94,Patricia James,Patricia,James,2003-01-11,22,Male,Married,Myanmar,Malay,LTVP,90154769,amandakelly@hotmail.com,patricia.james@company.com,Wholesale,Inventory Coordinator,Contract,Active,2022-09-30,11,Human Resources
95,Michael Hodge,Michael,Hodge,1991-01-24,34,Male,Married,Singaporean,Eurasian,Citizen / PR,97637538,spencertaylor@gould-goodwin.com,michael.hodge@company.com,Wholesale,Inventory Coordinator,Full-Time,Resigned,2019-10-03,14,Marketing
96,Samantha White,Samantha,White,1975-11-03,50,Male,Married,Singaporean,Indian,Citizen / PR,96258947,muellerchad@gmail.com,samantha.white@company.com,Wholesale,Inventory Coordinator,Part-Time,Resigned,2023-09-27,15,Human Resources
97,Billy Doyle,Billy,Doyle,1985-03-22,40,Male,Divorced,Singaporean,Chinese,Citizen / PR,98338281,zacharyadams@ward.net,billy.doyle@company.com,Wholesale,Warehouse Manager,Part-Time,Active,2020-04-02,17,Operations
98,Donna Diaz,Donna,Diaz,1977-03-01,48,Female,Single,Singaporean,Indian,Citizen / PR,93475912,hpatel@farmer-kramer.info,donna.diaz@company.com,Wholesale,Warehouse Manager,Part-Time,Resigned,2023-08-29,2,Sales
99,Samuel Leach,Samuel,Leach,1987-05-30,38,Male,Married,Singaporean,Eurasian,Citizen / PR,94128988,alejandro55@warren.com,samuel.leach@company.com,Service,Front Desk Officer,Full-Time,Probation,2021-06-12,16,Marketing
100,Joel Cameron,Joel,Cameron,1979-10-06,46,Male,Single,Singaporean,Malay,Citizen / PR,94677368,vpope@brown.biz,joel.cameron@company.com,Service,Operations Executive,Part-Time,Active,2022-06-05,11,IT Support
101,Cameron Ford,Cameron,Ford,2000-11-02,25,Male,Single,Singaporean,Chinese,Citizen / PR,94873911,mikesimpson@yahoo.com,cameron.ford@company.com,IT,Database Administrator,Full-Time,Probation,2016-09-09,6,Operations
102,Kyle Sanchez,Kyle,Sanchez,1972-07-03,53,Female,Single,Others,Others,Work Permit (WP),90176971,andrewbridges@hotmail.com,kyle.sanchez@company.com,Wholesale,Purchasing Executive,Contract,Active,2021-05-05,19,Legal
103,Alexandra Cooper,Alexandra,Cooper,1967-05-01,58,Female,Single,Singaporean,Others,Citizen / PR,96980766,wwells@hotmail.com,alexandra.cooper@company.com,Service,Field Service Technician,Part-Time,Probation,2018-01-24,17,Product
104,Jacob Owen,Jacob,Owen,2001-06-16,24,Male,Single,Singaporean,Indian,Citizen / PR,90679949,janegordon@hotmail.com,jacob.owen@company.com,Wholesale,Inventory Coordinator,Part-Time,Probation,2015-11-22,7,Operations
105,Elizabeth West,Elizabeth,West,1985-06-07,40,Female,Single,Malaysian,Indian,Work Permit (WP),92610933,richard10@gmail.com,elizabeth.west@company.com,Service,Customer Service Officer,Contract,Resigned,2019-09-03,2,IT Support
106,Ricardo Reyes,Ricardo,Reyes,1978-09-23,47,Female,Single,Singaporean,Others,Citizen / PR,91045855,susanjohnson@collins.com,ricardo.reyes@company.com,IT,Project Manager,Contract,Probation,2019-09-13,13,Product
107,Dean Cooper,Dean,Cooper,2005-01-16,20,Female,Single,Others,Eurasian,Work Permit (WP),98713315,snyderthomas@yahoo.com,dean.cooper@company.com,Service,Front Desk Officer,Full-Time,Active,2025-11-09,5,IT Support
108,Amanda Allison,Amanda,Allison,1987-06-28,38,Male,Married,Malaysian,Malay,LTVP,92949854,lopezmolly@yahoo.com,amanda.allison@company.com,Wholesale,Wholesale Manager,Part-Time,Active,2025-05-17,2,Marketing
109,James Ray,James,Ray,1996-08-15,29,Female,Single,Singaporean,Chinese,Citizen / PR,93157727,clintonmann@hotmail.com,james.ray@company.com,IT,Database Administrator,Contract,Active,2020-11-12,7,IT Support
110,William Sanders,William,Sanders,1989-12-19,36,Female,Single,Singaporean,Eurasian,Citizen / PR,92154591,williamcampos@hotmail.com,william.sanders@company.com,Wholesale,Wholesale Manager,Part-Time,Active,2019-07-20,13,Engineering
111,Cody Tyler,Cody,Tyler,2004-07-05,21,Male,Single,Indian,Others,Work Permit (WP),94804095,deniselane@gmail.com,cody.tyler@company.com,Wholesale,Supplier Relations Officer,Full-Time,Resigned,2016-05-12,4,Legal
112,Rebecca Haas,Rebecca,Haas,1996-11-28,29,Female,Married,Singaporean,Chinese,Citizen / PR,91957840,robertwarner@jones-edwards.com,rebecca.haas@company.com,Wholesale,Sales Executive,Full-Time,Active,2019-06-05,11,Product
113,Holly Johnston,Holly,Johnston,2001-07-25,24,Male,Divorced,Filipino,Malay,LTVP,97810391,hollandjoshua@reese.com,holly.johnston@company.com,Wholesale,Inventory Coordinator,Part-Time,Resigned,2016-08-17,2,Product
114,Jordan Crawford,Jordan,Crawford,2001-09-05,24,Male,Married,Singaporean,Chinese,Citizen / PR,99653429,aliciataylor@garcia-lawson.biz,jordan.crawford@company.com,IT,Full Stack Developer,Full-Time,Active,2025-09-09,0,Marketing
115,Angela Arias,Angela,Arias,1988-07-18,37,Male,Single,Others,Indian,S Pass,91457176,brett40@hotmail.com,angela.arias@company.com,IT,Database Administrator,Part-Time,Active,2016-11-13,13,Finance
116,Jimmy Robbins,Jimmy,Robbins,1993-12-19,32,Female,Single,Indian,Chinese,Work Permit (WP),93119180,douglasjones@gmail.com,jimmy.robbins@company.com,IT,Network Engineer,Contract,Probation,2016-11-15,5,Engineering
117,Rachel Jones,Rachel,Jones,1993-10-21,32,Female,Single,Indonesian,Indian,S Pass,90704636,dortiz@gmail.com,rachel.jones@company.com,IT,Database Administrator,Part-Time,Resigned,2023-12-06,3,Sales
118,Donna Newman,Donna,Newman,2005-08-14,20,Male,Single,Singaporean,Malay,Citizen / PR,92185334,kosborne@yahoo.com,donna.newman@company.com,Service,Service Manager,Part-Time,Probation,2017-07-05,2,Finance
119,Alexis Brown,Alexis,Brown,2001-04-19,24,Female,Single,Singaporean,Others,Citizen / PR,98125360,taylorjoshua@hotmail.com,alexis.brown@company.com,IT,Full Stack Developer,Contract,Resigned,2018-09-22,10,Legal
